arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_session,A,1,208,217
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_async_session,A,1,219,226
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_sync_session,A,1,228,235
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_session,A,1,237,250
advanced_alchemy/extensions/sanic/extension.py,function,,_get_session,A,1,247,248
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_async_session,A,1,252,265
advanced_alchemy/extensions/sanic/extension.py,function,,_get_session,A,1,262,263
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_sync_session,A,1,267,278
advanced_alchemy/extensions/sanic/extension.py,function,,_get_session,A,1,275,276
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_engine,A,1,280,287
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_async_engine,A,1,289,296
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,get_sync_engine,A,1,298,305
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_engine,A,1,307,320
advanced_alchemy/extensions/sanic/extension.py,function,,_get_engine,A,1,317,318
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_async_engine,A,1,322,333
advanced_alchemy/extensions/sanic/extension.py,function,,_get_engine,A,1,330,331
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,provide_sync_engine,A,1,335,346
advanced_alchemy/extensions/sanic/extension.py,function,,_get_engine,A,1,343,344
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,add_session_dependency,A,1,348,352
advanced_alchemy/extensions/sanic/extension.py,method,AdvancedAlchemy,add_engine_dependency,A,1,354,358
advanced_alchemy/extensions/starlette/config.py,function,,serializer,A,1,153,162
advanced_alchemy/extensions/starlette/config.py,method,SessionMiddleware,__init__,A,1,82,84
advanced_alchemy/extensions/starlette/config.py,method,SQLAlchemyAsyncConfig,app,A,1,251,252
